ID,Name,Price,"Quantity on Hand"
95,"Unbleached silk Headboard",$222.99,244
96,"Tuscan red Sectional","$1,039.99",207
97,"Paris Green Sleeper Sofa","$1,279.99",125
98,"Opal Sofa",$1249.99,205
99,"Sapphire blue Headboard",$222.99,177
100,"Amazon green Dining Table",$800,229
101,"Bright maroon Wardrobe",$719.99,181
102,"Tropical rainforest Dresser",$599.99,233
103,"Army green Reclining Sofa","$1,119.99",242
104,"Minion yellow Reclining Loveseat","$1,023.99",182
105,"Cosmic latte Daybed",$711.99,99
106,"Pink Chaise Lounge",$235.99,91
107,"French raspberry Wardrobe",$719.99,106
108,"Light gray Crib",$289,74
109,"Dark moss green Sectional","$1,039.99",70
110,"Corn Reclining Sofa","$1,119.99",152
111,"Rufous Nightstand",$81.99,139
112,"Sky blue Dining Table",$800,29
113,"Cyber yellow Bench",$114.99,46
114,"Dark salmon Dining Chair",$89.99,235
115,"Sizzling Sunrise yellow Loveseat",$669.99,146
116,"Antique fuchsia Loveseat",$669.99,156
117,"Medium orchid Ottoman",$92.99,84
118,"Sapphire blue Bench",$114.99,74
119,"White Reclining Loveseat","$1,023.99",179
120,"Lavender gray Bench",$114.99,181
121,"Seashell Coffee Table",$222.95,65
122,"Mimi pink Dining Chair",$89.99,141
123,"Spanish gray Wardrobe",$719.99,104
124,"Dark purple End Table",$99.99,159
125,"Mimi pink Dining Table",$800,241
126,"Saddle brown Futon",$419.99,156
127,"Mahogany Dresser",$599.99,25
128,"Dark jungle green Crib",$289,41
129,"Gold Fusion Sectional","$1,039.99",48
130,"Payne's grey Loveseat",$669.99,165
131,"Avocado Bench",$114.99,172
132,"Brink pink Crib",$289,228
133,"Sheen green Chaise Lounge",$235.99,124
134,"Light orange Nightstand",$81.99,153
135,"Copper Dining Table",$800,72
136,"Mauve taupe Coffee Table",$222.95,83
137,"Purple Plum Reclining Sofa","$1,119.99",50
138,"Lavender blue Sleeper Sofa","$1,279.99",31
139,"Chili red Bench",$114.99,152
140,"African violet Dining Table",$800,56
141,"Russian green Crib",$289,137
142,"Mahogany Wardrobe",$719.99,27
143,"Neon blue Chaise Lounge",$235.99,86
144,"Wild watermelon Crib",$289,163
145,"Rocket metallic Stool",$54.99,139
146,"French beige Bench",$114.99,66
147,"Shamrock green Bed",$389.99,31
148,"Uranian blue Wardrobe",$719.99,39
149,"Macaroni and Cheese Sectional","$1,039.99",166
150,"Baby blue End Table",$99.99,240
151,"French blue End Table",$99.99,32
152,"Salmon pink Storage Bench",$194.99,49
153,"Pine green Plant Stand",$42.99,62
154,"Spanish gray Sofa",$1249.99,54
155,"Pacific blue Sleeper Sofa","$1,279.99",248
156,"French bistre Reclining Loveseat","$1,023.99",39
157,"Cocoa brown Nightstand",$81.99,236
158,"Wheat gold Dining Chair",$89.99,130
159,"Black coffee Futon",$419.99,57
160,"Dark jungle green Dining Table",$800,94
161,"New York pink Plant Stand",$42.99,213
162,"Ochre Sofa",$1249.99,79
163,"Burlywood Reclining Sofa","$1,119.99",226
164,"Light periwinkle Stool",$54.99,113
165,"Olive Drab Bench",$114.99,113
166,"Persian blue Coffee Table",$222.95,28
167,"Uranian blue Plant Stand",$42.99,247
168,"Battleship grey Daybed",$711.99,215
169,"Crimson Loveseat",$669.99,106
170,"Maximum green yellow End Table",$99.99,194
171,"Tuscan tan Futon",$419.99,226
172,"Steel pink Storage Bench",$194.99,42
173,"Dark spring green Sectional","$1,039.99",38
174,"Maximum blue purple Ottoman",$92.99,166
175,"Maximum purple Nightstand",$81.99,199
176,"Rose quartz Wardrobe",$719.99,108
177,"Beau blue Bench",$114.99,215
178,"International Klein Blue Crib",$289,30
179,"Dark chocolate Sleeper Sofa","$1,279.99",227
180,"Winter Sky Reclining Loveseat","$1,023.99",114
181,"Electric indigo Dining Table",$800,222
182,"Medium champagne End Table",$99.99,60
183,"Mauvelous Ottoman",$92.99,68
184,"Light gray Plant Stand",$42.99,190
185,"French mauve Nightstand",$81.99,163
186,"Yellow Orange Nightstand",$81.99,110
187,"Majorelle blue Sofa",$1249.99,196
188,"Dogwood rose Chaise Lounge",$235.99,197
189,"Lemon meringue Wardrobe",$719.99,158
190,"French blue Dining Chair",$89.99,36
191,"Bright yellow Reclining Loveseat","$1,023.99",134
192,"KSU purple Plant Stand",$42.99,248
193,"Cadmium green Futon",$419.99,157
194,"Café noir Wardrobe",$719.99,86
195,"Floral white Reclining Sofa","$1,119.99",241
196,"UA blue Loveseat",$669.99,71
197,"Quick Silver Loveseat",$669.99,181
198,"Middle purple Wardrobe",$719.99,205
199,"Maroon Plant Stand",$42.99,199
200,"Cocoa brown Plant Stand",$42.99,172
201,"International Klein Blue Coffee Table",$222.95,64
202,"Medium blue Chaise Lounge",$235.99,144
203,"Kelly green Sleeper Sofa","$1,279.99",69
204,"Vivid violet Reclining Loveseat","$1,023.99",56
205,"Amber Nightstand",$81.99,224
206,"Electric green Sectional","$1,039.99",235
207,"Brown sugar Dresser",$599.99,46
208,"Chinese red Plant Stand",$42.99,172
209,"Mauve taupe Reclining Sofa","$1,119.99",199
210,"Thulian pink Headboard",$222.99,184
211,"Wild orchid Headboard",$222.99,27
212,"Tangerine Sofa",$1249.99,126
213,"Mint Plant Stand",$42.99,41
214,"Lime Headboard",$222.99,42
215,"Tickle Me Pink Wardrobe",$719.99,63
216,"Silver Bench",$114.99,226
217,"Pictorial carmine Dresser",$599.99,236
218,"Maximum yellow Daybed",$711.99,93
219,"Celadon green Stool",$54.99,51
220,"Blue jeans Sectional","$1,039.99",148
221,"Old burgundy Plant Stand",$42.99,46
222,"Electric purple Plant Stand",$42.99,167
223,"Amaranth pink Futon",$419.99,104
224,"Blue-gray Plant Stand",$42.99,80
225,"Picotee blue Bench",$114.99,236
226,"Blast-off bronze Coffee Table",$222.95,122
227,"Dutch white Chaise Lounge",$235.99,231
228,"Telemagenta Daybed",$711.99,102
229,"Steel blue Wardrobe",$719.99,221
230,"Umber Bench",$114.99,212
231,"Tuscan brown Ottoman",$92.99,128
232,"Cinnabar Bed",$389.99,224
233,"Dark orchid Sofa",$1249.99,98
234,"Chestnut Bench",$114.99,40
235,"Slate gray Sleeper Sofa","$1,279.99",246
236,"Denim Wardrobe",$719.99,174
237,"Sugar Plum Dresser",$599.99,139
238,"Spanish blue Nightstand",$81.99,116
239,"Cedar Chest Storage Bench",$194.99,228
240,"Wood brown Reclining Loveseat","$1,023.99",148
241,"Fire opal Headboard",$222.99,182
242,"Old lace Plant Stand",$42.99,168
243,"Turquoise End Table",$99.99,42
244,"Maximum green yellow Wardrobe",$719.99,114
245,"Light French beige Loveseat",$669.99,92
246,"Golden poppy Headboard",$222.99,110
247,"Navy blue Storage Bench",$194.99,169
248,"Sapphire End Table",$99.99,189
249,"Asparagus green Coffee Table",$222.95,35
250,"Harvest gold Bench",$114.99,211
251,"Medium sea green Loveseat",$669.99,163
252,"Black olive Headboard",$222.99,172
253,"Dark olive green Reclining Loveseat","$1,023.99",48
254,"Pine tree Reclining Loveseat","$1,023.99",164
255,"Space cadet blue Dresser",$599.99,107
256,"Picotee blue Wardrobe",$719.99,51
257,"Dark cornflower blue Stool",$54.99,110
258,"Pink flamingo Chaise Lounge",$235.99,189
259,"Air superiority blue Wardrobe",$719.99,124
260,"Peach puff Sectional","$1,039.99",235
261,"Pink Loveseat",$669.99,237
262,"Thistle grey Reclining Sofa","$1,119.99",95
263,"Robin egg blue Sofa",$1249.99,102
264,"Periwinkle Reclining Sofa","$1,119.99",200
265,"Corn Storage Bench",$194.99,64
266,"Rocket metallic Ottoman",$92.99,59
267,"Jasmine Nightstand",$81.99,61
268,"Amaranth pink Wardrobe",$719.99,50
269,"OU Crimson red Nightstand",$81.99,152
270,"Light gray Bed",$389.99,203
271,"Drab Sofa",$1249.99,50
272,"Khaki Sectional","$1,039.99",248
273,"Redwood Loveseat",$669.99,60
274,"Onyx Plant Stand",$42.99,47
275,"Dodger blue Plant Stand",$42.99,44
276,"Cadet blue Wardrobe",$719.99,74
277,"Spanish viridian Dresser",$599.99,138
278,"Sunray gold Crib",$289,95
279,"Piggy pink Stool",$54.99,215
280,"Spanish red Loveseat",$669.99,158
281,"Rose vale Bench",$114.99,60
282,"Maximum purple Chaise Lounge",$235.99,91
283,"Bistre brown Crib",$289,166
284,"Yellow Orange Dresser",$599.99,34
285,"Auburn Reclining Loveseat","$1,023.99",248
286,"Orange Bed",$389.99,199
287,"Violet-blue Crib",$289,218
288,"Pakistan green Daybed",$711.99,221
289,"Opera mauve Bed",$389.99,75
290,"Purple navy Chaise Lounge",$235.99,197
291,"Pale cerulean Reclining Sofa","$1,119.99",64
292,"Pale Dogwood Stool",$54.99,120
293,"Carrot orange Loveseat",$669.99,179
294,"Brown sugar Stool",$54.99,216
295,"Teal blue Dresser",$599.99,220
296,"Dark chocolate Dresser",$599.99,204
297,"Space cadet blue Crib",$289,159
298,"Tango pink Stool",$54.99,164
299,"Shimmering Blush Loveseat",$669.99,29
300,"Nadeshiko pink Bed",$389.99,191
301,"Bitter lemon Sofa",$1249.99,145
302,"Tuscan tan Sleeper Sofa","$1,279.99",25
303,"Bistre brown Loveseat",$669.99,213
304,"Purple Plum Sleeper Sofa","$1,279.99",176
305,"Mode beige Bench",$114.99,185
306,"Sapphire Chaise Lounge",$235.99,202
307,"Spanish sky blue Ottoman",$92.99,83
308,"Neon green Reclining Loveseat","$1,023.99",29
309,"Tumbleweed brown Chaise Lounge",$235.99,133
310,"Dark chocolate Headboard",$222.99,92
311,"Bright maroon Reclining Loveseat","$1,023.99",127
312,"Dark olive green Sectional","$1,039.99",111
313,"Dark jungle green Sofa",$1249.99,26
314,"Medium candy apple red Ottoman",$92.99,194
315,"Moss green Headboard",$222.99,40
316,"International Klein Blue Bed",$389.99,238
317,"Steel Teal Reclining Loveseat","$1,023.99",52
318,"Maximum yellow Reclining Loveseat","$1,023.99",90
319,"Deep jungle green Bench",$114.99,227
320,"Maximum blue purple Storage Bench",$194.99,81
321,"Granny Smith apple Sleeper Sofa","$1,279.99",187
322,"Salmon pink Ottoman",$92.99,156
323,"Shocking pink Sofa",$1249.99,129
324,"Davy's grey Headboard",$222.99,25
325,"Middle grey Dining Chair",$89.99,248
326,"Jungle green Headboard",$222.99,92
327,"Taupe gray Sleeper Sofa","$1,279.99",28
328,"Sapphire End Table",$99.99,71
329,"Portland Orange Bench",$114.99,81
330,"Lavender blush Dining Table",$800,122
331,"Gray Loveseat",$669.99,206
332,"Sand dune Chaise Lounge",$235.99,113
333,"Champagne pink Reclining Loveseat","$1,023.99",176
334,"Indigo dye Ottoman",$92.99,71
335,"Cotton candy Plant Stand",$42.99,29
336,"Navajo white Reclining Loveseat","$1,023.99",88
337,"Blue bell Coffee Table",$222.95,152
338,"University of Pennsylvania red Wardrobe",$719.99,96
339,"Tomato red Dining Chair",$89.99,38
340,"Persian blue Nightstand",$81.99,43
341,"Aqua Daybed",$711.99,128
342,"Spanish sky blue Coffee Table",$222.95,234
343,"Bright green Chaise Lounge",$235.99,49
344,"Aero blue Chaise Lounge",$235.99,241
345,"Candy pink Bed",$389.99,90
346,"Taupe gray End Table",$99.99,123
347,"Ocean Blue Sofa",$1249.99,154
348,"Deep sky blue Sofa",$1249.99,204
349,"Lemon Storage Bench",$194.99,159
350,"Deep jungle green Sleeper Sofa","$1,279.99",110
351,"Russet brown Coffee Table",$222.95,114
352,"Cornsilk Dining Table",$800,170
353,"Eggshell Bench",$114.99,93
354,"Blond Loveseat",$669.99,160
355,"Hot magenta Sleeper Sofa","$1,279.99",31
356,"Electric lime Bench",$114.99,29
357,"Corn Bench",$114.99,182
358,"Black Nightstand",$81.99,73
359,"Outrageous Orange Chaise Lounge",$235.99,138
360,"Cambridge blue Storage Bench",$194.99,243
361,"Platinum Bench",$114.99,49
362,"Saddle brown Reclining Loveseat","$1,023.99",242
363,"Mode beige Loveseat",$669.99,216
364,"Pale aqua Futon",$419.99,194
365,"Chinese violet Storage Bench",$194.99,231
366,"Han blue Daybed",$711.99,181
367,"Pansy purple Stool",$54.99,98
368,"Mauve Dining Table",$800,158
369,"Mustard yellow Crib",$289,59
370,"Han blue Dining Table",$800,222
371,"Blue bell Reclining Loveseat","$1,023.99",54
372,"June bud Bench",$114.99,183
373,"Mexican pink Reclining Sofa","$1,119.99",204
374,"Tropical rainforest Coffee Table",$222.95,212
375,"Dark blue-gray Dining Chair",$89.99,167
376,"Ash gray Sectional","$1,039.99",80
377,"Dark cyan Reclining Loveseat","$1,023.99",30
378,"Red-orange Reclining Sofa","$1,119.99",81
379,"Vanilla ice Dining Chair",$89.99,94
380,"Deep Space Sparkle Bed",$389.99,250
381,"Bitter lemon Reclining Sofa","$1,119.99",78
382,"Sheen green Bed",$389.99,153
383,"Chinese red Storage Bench",$194.99,51
384,"Ruby Dining Chair",$89.99,232
385,"Silver chalice Wardrobe",$719.99,157
386,"Antique fuchsia Loveseat",$669.99,112
387,"Medium spring green Reclining Sofa","$1,119.99",46
388,"Magnolia Headboard",$222.99,46
389,"Green Loveseat",$669.99,147
390,"Hot magenta Dining Table",$800,192
391,"Tangerine Loveseat",$669.99,196
392,"Uranian blue Bench",$114.99,192
393,"Sepia Ottoman",$92.99,86
394,"Lava Coffee Table",$222.95,234
395,"Mountbatten pink End Table",$99.99,143
396,"Royal purple Chaise Lounge",$235.99,92
397,"Dark cyan Futon",$419.99,142
398,"Hot pink Dining Chair",$89.99,25
399,"Trypan Blue Dining Chair",$89.99,195
400,"Golden poppy Daybed",$711.99,179
401,"Ruby red Dresser",$599.99,202
402,"Orange-yellow Daybed",$711.99,64
403,"Amazon green Plant Stand",$42.99,107
404,"Cameo pink Dining Table",$800,228
405,"Apple green Futon",$419.99,67
406,"Davy's grey Crib",$289,143
407,"Light goldenrod yellow Loveseat",$669.99,39
408,"Carmine Reclining Loveseat","$1,023.99",204
409,"Sap green Sleeper Sofa","$1,279.99",67
410,"Gold Fusion Plant Stand",$42.99,100
411,"Dark salmon Dining Table",$800,26
412,"Ash gray Dining Table",$800,123
413,"Sepia Sleeper Sofa","$1,279.99",105
414,"Pale cerulean Chaise Lounge",$235.99,103
415,"Han blue Chaise Lounge",$235.99,242
416,"Deep cerise Stool",$54.99,235
417,"Slate blue Loveseat",$669.99,58
418,"Spring Frost End Table",$99.99,247
419,"Sacramento State green Sleeper Sofa","$1,279.99",97
420,"Field drab End Table",$99.99,178
421,"Lilac Daybed",$711.99,145
422,"Paris Green Crib",$289,164
423,"Polished Pine Dining Chair",$89.99,240
424,"Medium blue Ottoman",$92.99,129
425,"Duke blue Bench",$114.99,99
426,"Paradise pink Headboard",$222.99,130
427,"Shadow blue Reclining Sofa","$1,119.99",55
428,"Raw umber Loveseat",$669.99,148
429,"Non-photo blue Bed",$389.99,242
430,"Persian red Dresser",$599.99,162
431,"Dark magenta Plant Stand",$42.99,160
432,"Candy pink Sleeper Sofa","$1,279.99",208
433,"Wood brown Ottoman",$92.99,98
434,"Neon green Sofa",$1249.99,235
435,"Tropical rainforest Headboard",$222.99,66
436,"Arctic lime Loveseat",$669.99,89
437,"Sepia Daybed",$711.99,116
438,"Lincoln green Bench",$114.99,161
439,"Pearly purple Dresser",$599.99,219
440,"Mauve Reclining Loveseat","$1,023.99",178
441,"Persian rose Loveseat",$669.99,123
442,"Neon Carrot Sofa",$1249.99,184
443,"Wheat gold Futon",$419.99,76
444,"Onyx Daybed",$711.99,81
445,"Aero blue Reclining Loveseat","$1,023.99",162
446,"Old rose End Table",$99.99,163
447,"Razzle dazzle rose Daybed",$711.99,74
448,"Orange-red Plant Stand",$42.99,245
449,"Linen Dining Table",$800,154
450,"Volt green Sleeper Sofa","$1,279.99",73
451,"B'dazzled blue Bed",$389.99,132
452,"Satin sheen gold End Table",$99.99,179
453,"Teal Plant Stand",$42.99,201
454,"French blue Ottoman",$92.99,124
455,"Schauss pink Reclining Loveseat","$1,023.99",119
456,"Artichoke Sectional","$1,039.99",243
457,"Spring green Reclining Loveseat","$1,023.99",91
458,"Blanched almond Wardrobe",$719.99,85
459,"Alloy orange Dresser",$599.99,153
460,"Old lavender Stool",$54.99,200
461,"Upsdell red Sofa",$1249.99,132
462,"Rich black Bed",$389.99,119
463,"Moss green Daybed",$711.99,37
464,"Eggplant Coffee Table",$222.95,51
465,"Cornell red Sofa",$1249.99,75
466,"Alabaster Storage Bench",$194.99,155
467,"Navy blue Crib",$289,168
468,"Puce Dining Table",$800,195
469,"Pansy purple Chaise Lounge",$235.99,250
470,"Deep sky blue Daybed",$711.99,60
471,"Smoky black Reclining Sofa","$1,119.99",240
472,"Celadon green Bed",$389.99,55
473,"Amethyst Bed",$389.99,163
474,"Papaya whip Crib",$289,221
475,"Sacramento State green Nightstand",$81.99,131
476,"Black coral Bench",$114.99,224
477,"Persian red Nightstand",$81.99,116
478,"Princeton orange Daybed",$711.99,133
479,"Rose Reclining Sofa","$1,119.99",246
480,"Moss green Ottoman",$92.99,167
481,"Orchid Coffee Table",$222.95,97
482,"OU Crimson red Crib",$289,62
483,"Oxford blue Wardrobe",$719.99,58
484,"Floral white Stool",$54.99,88
485,"Bitter lemon Bed",$389.99,27
486,"Medium carmine Bed",$389.99,152
487,"Livid blue Loveseat",$669.99,130
488,"Roman silver Futon",$419.99,35
489,"Sunset Bench",$114.99,42
490,"Light green Wardrobe",$719.99,139
491,"Blue-gray Sleeper Sofa","$1,279.99",181
492,"Midnight blue Storage Bench",$194.99,46
493,"Blaze orange Reclining Sofa","$1,119.99",161
494,"Red Salsa End Table",$99.99,192
495,"Deep jungle green Reclining Sofa","$1,119.99",84
496,"Aero blue Reclining Loveseat","$1,023.99",195
497,"Spanish green Wardrobe",$719.99,210
498,"Dark slate blue Dining Table",$800,168
499,"Orchid pink Sofa",$1249.99,52
500,"Pale Dogwood Coffee Table",$222.95,241
501,"Drab End Table",$99.99,80
502,"Army green Bed",$389.99,126
503,"Turquoise Bench",$114.99,188
504,"Blond Dining Chair",$89.99,83
505,"Dutch white Dining Chair",$89.99,27
506,"Violet-blue Coffee Table",$222.95,248
507,"Magnolia Bench",$114.99,231
508,"Shiny Shamrock Futon",$419.99,234
509,"Amaranth red Daybed",$711.99,184
510,"Eggshell Coffee Table",$222.95,135
511,"Vivid tangerine Reclining Sofa","$1,119.99",42
512,"Lilac Luster Sofa",$1249.99,138
513,"Maximum yellow Headboard",$222.99,161
514,"Dark slate gray Nightstand",$81.99,74
515,"Apricot Nightstand",$81.99,114
516,"Sky blue Bed",$389.99,29
517,"Copper red End Table",$99.99,34
518,"True Blue Bed",$389.99,116
519,"Medium orchid Ottoman",$92.99,219
520,"Timberwolf grey Coffee Table",$222.95,133
521,"Papaya whip Bed",$389.99,70
522,"Telemagenta Crib",$289,214
523,"Vivid tangerine Futon",$419.99,248
524,"Light coral Ottoman",$92.99,219
525,"Android green Futon",$419.99,40
526,"Red-violet Storage Bench",$194.99,225
527,"Super pink Daybed",$711.99,33
528,"Periwinkle End Table",$99.99,160
529,"Bittersweet shimmer Dining Table",$800,243
530,"Steel blue Sectional","$1,039.99",215
531,"Black olive Storage Bench",$194.99,95
532,"Tuscan tan Chaise Lounge",$235.99,35
533,"Metallic gold Daybed",$711.99,86
534,"Desert sand Plant Stand",$42.99,121
535,"Flax Reclining Sofa","$1,119.99",60
536,"United Nations blue End Table",$99.99,241
537,"Opera mauve Reclining Sofa","$1,119.99",107
538,"Cotton candy Bench",$114.99,45
539,"Laser lemon Storage Bench",$194.99,83
540,"Lavender blue Futon",$419.99,141
541,"Sheen green Sofa",$1249.99,223
542,"Mardi Gras purple Dining Chair",$89.99,87
543,"Pear Bed",$389.99,126
544,"Mellow yellow Sofa",$1249.99,128
545,"Pale silver Chaise Lounge",$235.99,234
546,"Goldenrod End Table",$99.99,207
547,"Davy's grey Sectional","$1,039.99",140
548,"Middle green Bench",$114.99,111
549,"Process yellow Wardrobe",$719.99,246
550,"Orange-yellow Bench",$114.99,167
551,"Opera mauve Stool",$54.99,222
552,"UP maroon Dining Chair",$89.99,177
553,"Denim blue Sectional","$1,039.99",65
554,"Lion gold Daybed",$711.99,224
555,"China pink Dresser",$599.99,192
556,"Rose Coffee Table",$222.95,56
557,"Copper penny Daybed",$711.99,87
558,"Chartreuse Dining Chair",$89.99,248
559,"Puce Bed",$389.99,137
560,"Navajo white Coffee Table",$222.95,99
561,"Flame Dining Chair",$89.99,57
562,"Carolina blue Reclining Loveseat","$1,023.99",170
563,"Cadet blue Sectional","$1,039.99",226
564,"Red Coffee Table",$222.95,202
565,"Yellow Orange Loveseat",$669.99,112
566,"Yellow Sunshine Plant Stand",$42.99,180
567,"Cornell red Daybed",$711.99,94
568,"Acid green Sectional","$1,039.99",43
569,"Castleton green Stool",$54.99,147
570,"Selective yellow Reclining Sofa","$1,119.99",191
571,"Maya blue Futon",$419.99,174
572,"Dark orchid Plant Stand",$42.99,51
573,"Rocket metallic Sectional","$1,039.99",44
574,"French sky blue Loveseat",$669.99,228
575,"Shadow blue Bed",$389.99,131
576,"Star command blue Coffee Table",$222.95,222
577,"Purple mountain majesty Dining Table",$800,117
578,"Lemon curry Bench",$114.99,234
579,"Magenta Dining Chair",$89.99,128
580,"Saffron Coffee Table",$222.95,163
581,"Cherry blossom pink Reclining Sofa","$1,119.99",96
582,"Cyber yellow Coffee Table",$222.95,155
583,"Silver pink Headboard",$222.99,188
584,"Mode beige Sofa",$1249.99,78
585,"Olive Drab Loveseat",$669.99,192
586,"Paris Green Sleeper Sofa","$1,279.99",231
587,"Light gray Chaise Lounge",$235.99,117
588,"Red Salsa Coffee Table",$222.95,127
589,"Kombu green Futon",$419.99,227
590,"Rose red Sofa",$1249.99,63
591,"Black Futon",$419.99,127
592,"Violet Storage Bench",$194.99,157
593,"Yellow Coffee Table",$222.95,212
594,"Maximum blue purple Nightstand",$81.99,114
595,"Cornflower blue Headboard",$222.99,154
596,"Lilac Luster Bench",$114.99,231
597,"Red-orange Ottoman",$92.99,164
598,"Cream Bench",$114.99,113
599,"Dark electric blue Wardrobe",$719.99,194
600,"Cobalt blue Dining Table",$800,236
601,"Unbleached silk Storage Bench",$194.99,89
602,"Coral Dresser",$599.99,117
603,"Dark salmon Plant Stand",$42.99,64
604,"Orange soda Sofa",$1249.99,61
605,"Mustard yellow Dining Chair",$89.99,124
606,"Blanched almond Nightstand",$81.99,117
607,"Café au lait Sectional","$1,039.99",112
608,"Fuzzy Wuzzy brown Sectional","$1,039.99",73
609,"Davy's grey Nightstand",$81.99,213
610,"Carnation pink Headboard",$222.99,219
611,"Sand dune Ottoman",$92.99,213
612,"Shocking pink Nightstand",$81.99,141
613,"Purple pizzazz Futon",$419.99,217
614,"Apple green Daybed",$711.99,33
615,"Persian green Chaise Lounge",$235.99,241
616,"Dodger blue Futon",$419.99,210
617,"Wine red Futon",$419.99,209
618,"Alice blue Plant Stand",$42.99,84
619,"India green Nightstand",$81.99,57
620,"Wild watermelon Daybed",$711.99,70
621,"Pansy purple End Table",$99.99,191
622,"Persian green Daybed",$711.99,150
623,"African violet Coffee Table",$222.95,189
624,"Misty moss green Sleeper Sofa","$1,279.99",60
625,"Opal End Table",$99.99,232
626,"Saddle brown Headboard",$222.99,92
627,"Flame Sectional","$1,039.99",97
628,"Maximum yellow Sofa",$1249.99,180
629,"Deep sky blue End Table",$99.99,165
630,"Polished Pine Ottoman",$92.99,59
631,"Gray Crib",$289,218
632,"Chestnut Dresser",$599.99,179
633,"Naples yellow Sleeper Sofa","$1,279.99",175
634,"Red-orange Dining Chair",$89.99,136
635,"Jazzberry jam Stool",$54.99,74
636,"Spanish gray End Table",$99.99,229
